backend,num_threads,model,batch_size,train_time,predict_time,unroll_rnn,seq_len
th,gpu,fc,1,0.000836956501007,0.00014564037323,None,None
tf,gpu,fc,1,0.00144326925278,0.000443315505981,None,None
th,gpu,cnn_dqn,1,0.00302354812622,0.00081027507782,None,None
tf,gpu,cnn_dqn,1,0.00458873271942,0.00138202667236,None,None
th,gpu,cnn_openai,1,0.00221115112305,0.000811312198639,None,None
tf,gpu,cnn_openai,1,0.00302708864212,0.00100769519806,None,None
th,gpu,LSTM_fc,1,0.0070224237442,0.0022376704216,False,20
tf,gpu,LSTM_fc,1,0.0159917831421,0.00386336326599,False,20
th,gpu,LSTM_openai,1,0.0102372312546,0.00317093849182,False,20
tf,gpu,LSTM_openai,1,0.0197476887703,0.00479750871658,False,20
th,gpu,LSTM_dqn,1,0.0157836699486,0.00489770174026,False,20
tf,gpu,LSTM_dqn,1,0.0271810626984,0.00615855455399,False,20
th,gpu,fc,64,0.000919654369354,0.000200970172882,None,None
tf,gpu,fc,64,0.00149752378464,0.00048192024231,None,None
th,gpu,cnn_dqn,64,0.00966387987137,0.00467790603638,None,None
tf,gpu,cnn_dqn,64,0.0110471630096,0.00636107444763,None,None
th,gpu,cnn_openai,64,0.00541491985321,0.00277916431427,None,None
tf,gpu,cnn_openai,64,0.00549409151077,0.00256547927856,None,None
th,gpu,LSTM_fc,64,0.0152305936813,0.00419938564301,False,20
tf,gpu,LSTM_fc,64,0.0178760099411,0.00495157241821,False,20
th,gpu,LSTM_openai,64,0.0412090277672,0.0153194475174,False,20
tf,gpu,LSTM_openai,64,0.0464287447929,0.0171471405029,False,20
th,gpu,LSTM_dqn,64,0.0870219159126,0.0338475322723,False,20
tf,gpu,LSTM_dqn,64,0.0912991118431,0.0435900068283,False,20
th,all,fc,1,0.000183160305023,3.90362739563e-05,None,None
tf,all,fc,1,0.000511977672577,0.00020147562027,None,None
th,all,cnn_dqn,1,0.0276542234421,0.00493680715561,None,None
tf,all,cnn_dqn,1,0.025948536396,0.00212767124176,None,None
th,all,cnn_openai,1,0.00338611602783,0.00167620182037,None,None
tf,all,cnn_openai,1,0.00152971982956,0.000620510578156,None,None
th,all,LSTM_fc,1,0.0347440958023,0.00898213386536,False,20
tf,all,LSTM_fc,1,0.0158125710487,0.00255617618561,False,20
th,all,LSTM_openai,1,0.0769222092628,0.0254582953453,False,20
tf,all,LSTM_openai,1,0.0197040724754,0.00462376356125,False,20
th,all,LSTM_dqn,1,0.129027321339,0.0291574406624,False,20
tf,all,LSTM_dqn,1,0.0676037716866,0.0104129314423,False,20
th,all,fc,64,0.000560677051544,0.000134789943695,None,None
tf,all,fc,64,0.000863831043243,0.000338227748871,None,None
th,all,cnn_dqn,64,0.225194711685,0.0839357972145,None,None
tf,all,cnn_dqn,64,0.0797865366936,0.0268323874474,None,None
th,all,cnn_openai,64,0.141967406273,0.0627091526985,None,None
tf,all,cnn_openai,64,0.0239305877686,0.00931813001633,None,None
th,all,LSTM_fc,64,0.243945431709,0.0857503080368,False,20
tf,all,LSTM_fc,64,0.0819753742218,0.031134455204,False,20
th,all,LSTM_openai,64,1.93661435604,0.791680927277,False,20
tf,all,LSTM_openai,64,0.311578764915,0.123339846134,False,20
th,all,LSTM_dqn,64,3.42111004353,1.23786621809,False,20
tf,all,LSTM_dqn,64,1.13904103994,0.383992605209,False,20
th,1,fc,1,0.000181651115417,3.74507904053e-05,None,None
tf,1,fc,1,0.000620467662811,0.000240044593811,None,None
th,1,cnn_dqn,1,0.0171658635139,0.00263034105301,None,None
tf,1,cnn_dqn,1,0.0289467906952,0.00195198535919,None,None
th,1,cnn_openai,1,0.00169556379318,0.000528080463409,None,None
tf,1,cnn_openai,1,0.00196040153503,0.000655152797699,None,None
th,1,LSTM_fc,1,0.0187849736214,0.00515659093857,False,20
tf,1,LSTM_fc,1,0.0229315137863,0.00339832782745,False,20
th,1,LSTM_openai,1,0.0354274606705,0.0112490367889,False,20
tf,1,LSTM_openai,1,0.0350147628784,0.00840378284454,False,20
th,1,LSTM_dqn,1,0.0800717711449,0.0193000531197,False,20
tf,1,LSTM_dqn,1,0.146906626225,0.027433590889,False,20
th,1,fc,64,0.000369255542755,9.21082496643e-05,None,None
tf,1,fc,64,0.00100706338882,0.000354843139648,None,None
th,1,cnn_dqn,64,0.133388104439,0.0467320513725,None,None
tf,1,cnn_dqn,64,0.205603199005,0.0567325520515,None,None
th,1,cnn_openai,64,0.0614726853371,0.0243082404137,None,None
tf,1,cnn_openai,64,0.0534904146194,0.0202143359184,None,None
th,1,LSTM_fc,64,0.135172979832,0.0418026828766,False,20
tf,1,LSTM_fc,64,0.21351092577,0.0764947080612,False,20
th,1,LSTM_openai,64,1.08339671135,0.374778285027,False,20
tf,1,LSTM_openai,64,0.919222559929,0.378693180084,False,20
th,1,LSTM_dqn,64,2.27912327766,0.711540801525,False,20
tf,1,LSTM_dqn,64,3.40080445766,1.07082391739,False,20
